time,device_id,acoustic_event,battery_voltage,solar_voltage,rssi,snr,lora_sf,pressure,altitude_m,temperature
2026-05-31T20:09:59.314755+00:00,stratolink-2,0,4.658,0.008,-51,7,7,1015.8,,30.1
2026-05-31T20:15:33.310934+00:00,stratolink-2,0,4.668,0.008,-60,9,7,1015.7,,29.1
2026-05-31T20:21:07.318003+00:00,stratolink-2,0,4.656,0.006,-60,10,7,1015.7,,28.7
2026-05-31T20:26:41.314689+00:00,stratolink-2,0,4.668,0.006,-60,10.25,7,1015.7,,28.7
2026-05-31T20:32:15.312005+00:00,stratolink-2,0,4.664,0.006,-58,9.75,7,1015.7,,28.7
2026-05-31T20:37:49.281644+00:00,stratolink-2,0,4.668,0.008,-54,9.75,7,1015.7,,28.7
2026-05-31T20:43:24.323689+00:00,stratolink-2,0,4.664,0.006,-69,9.5,7,1015.6,,28.6
2026-05-31T20:48:58.320089+00:00,stratolink-2,0,4.668,0.006,-63,10,7,1015.6,,28.6
2026-05-31T20:54:32.33107+00:00,stratolink-2,0,4.66,0.008,-63,6.5,7,1015.6,,28.5
2026-05-31T21:00:06.310437+00:00,stratolink-2,0,4.664,0.006,-61,9.5,7,1015.6,,28.5
2026-05-31T21:05:40.489235+00:00,stratolink-2,0,4.658,0.006,-61,9.5,7,1015.5,,28.4
2026-05-31T21:11:15.318035+00:00,stratolink-2,0,4.658,0.008,-60,10.75,7,1015.5,,28.5
2026-05-31T21:16:49.309578+00:00,stratolink-2,0,4.66,0.006,-76,9.25,7,1015.4,,28.7
2026-05-31T21:22:23.299702+00:00,stratolink-2,0,4.664,0.008,-52,10.25,7,1015.4,,28.9
2026-05-31T21:27:57.322277+00:00,stratolink-2,0,4.658,0.008,-51,10,7,1015.4,,28.9
2026-05-31T21:33:31.314553+00:00,stratolink-2,0,4.668,0.006,-55,9.25,7,1015.3,,29
2026-05-31T21:39:05.312186+00:00,stratolink-2,0,4.66,0.008,-57,6.5,7,1015.3,,29.8
2026-05-31T21:50:51.097333+00:00,stratolink-2,0,4.664,0.47,-55,9,7,1015.3,-11,30.2
2026-05-31T21:56:09.118996+00:00,stratolink-2,0,4.66,0.006,-60,9.5,7,1015.2,30,28.5
2026-05-31T22:00:15.340113+00:00,stratolink-2,0,4.662,0.022,-55,10.5,7,1015.2,,29.5
2026-05-31T22:05:49.32985+00:00,stratolink-2,0,4.664,0.002,-59,6.5,7,1015.1,,28.4
2026-05-31T22:11:23.313336+00:00,stratolink-2,0,4.658,0.002,-57,10.5,7,1015.1,,28.5
2026-05-31T22:16:57.317753+00:00,stratolink-2,0,4.664,0.006,-55,9,7,1015.1,,28.5
2026-05-31T23:08:30.309831+00:00,stratolink-2,0,4.664,0.012,-53,9.75,7,1014.6,,28.2
2026-06-01T00:04:20.079859+00:00,stratolink-2,0,4.662,0.448,-60,9.25,7,1014.2,1,29
2026-06-01T00:09:28.078708+00:00,stratolink-2,0,4.664,0.006,-48,9.25,7,1014.1,29,27
2026-06-01T00:14:36.0808+00:00,stratolink-2,0,4.66,0.008,-49,8.25,7,1014.1,-6,26.9
2026-06-01T00:19:44.063084+00:00,stratolink-2,0,4.664,0.008,-51,9.5,7,1014,14,26.7
2026-06-01T00:25:04.089784+00:00,stratolink-2,0,4.664,0.004,-49,9.25,7,1014,-60,26.9
2026-06-01T00:30:21.094538+00:00,stratolink-2,0,4.65,0.006,-51,10.25,7,1014,-20,26.8
2026-06-01T00:35:29.092459+00:00,stratolink-2,0,4.664,0.008,-49,8.5,7,1014,-41,26.5
2026-06-01T00:40:43.088583+00:00,stratolink-2,0,4.664,0.006,-49,8.5,7,1014,-5,26.5
2026-06-01T00:45:51.085827+00:00,stratolink-2,0,4.67,0.004,-51,9.75,7,1013.9,1,26.3
2026-06-01T00:50:58.082523+00:00,stratolink-2,0,4.658,0.006,-49,9.75,7,1013.9,5,26.2
2026-06-01T00:56:05.099836+00:00,stratolink-2,0,4.648,0.006,-51,7,7,1013.8,-4,26.1
2026-06-01T01:01:21.113763+00:00,stratolink-2,0,4.664,0.006,-51,9.25,7,1013.8,19,26.2
2026-06-01T01:06:29.110072+00:00,stratolink-2,0,4.65,0.008,-51,9.25,7,1013.8,-2,25.9
2026-06-01T01:11:45.075794+00:00,stratolink-2,0,4.664,0.008,-48,8.75,7,1013.7,81,26
2026-06-01T01:17:03.095105+00:00,stratolink-2,0,4.664,0.008,-51,10.5,7,1013.7,14,26
