t_s,played_level,rms_sq,noise_floor_sq,threshold,event
9.143805503845214844e-02,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
1.327186107635498047e+00,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
2.644455909729003906e+00,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
3.971720933914184570e+00,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
5.380263090133666992e+00,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
6.703696966171264648e+00,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
8.113399028778076172e+00,9.000000000000000222e-01,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
9.442131996154785156e+00,9.000000000000000222e-01,1.520000000000000000e+02,3.000000000000000000e+00,4.800000000000000000e+01,1.000000000000000000e+00
1.076640105247497559e+01,9.000000000000000222e-01,1.280000000000000000e+02,3.000000000000000000e+00,4.800000000000000000e+01,1.000000000000000000e+00
1.217619013786315918e+01,5.000000000000000000e-01,1.180000000000000000e+02,3.000000000000000000e+00,4.800000000000000000e+01,1.000000000000000000e+00
1.349899506568908691e+01,5.000000000000000000e-01,5.000000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,1.000000000000000000e+00
1.483076310157775879e+01,5.000000000000000000e-01,5.400000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,1.000000000000000000e+00
1.624335002899169922e+01,2.800000000000000266e-01,5.700000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,1.000000000000000000e+00
1.757027888298034668e+01,2.800000000000000266e-01,2.500000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
1.897896718978881836e+01,2.800000000000000266e-01,2.800000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
2.030192804336547852e+01,1.600000000000000033e-01,3.000000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
2.162682199478149414e+01,1.600000000000000033e-01,1.600000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
2.303473424911499023e+01,1.600000000000000033e-01,1.800000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
2.435976815223693848e+01,8.999999999999999667e-02,1.800000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
2.568562412261962891e+01,8.999999999999999667e-02,1.100000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
2.711447405815124512e+01,8.999999999999999667e-02,1.200000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
2.844198608398437500e+01,5.000000000000000278e-02,1.200000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
2.976920604705810547e+01,5.000000000000000278e-02,9.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
3.118399596214294434e+01,5.000000000000000278e-02,9.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
3.251030898094177246e+01,2.800000000000000058e-02,9.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
3.384247708320617676e+01,2.800000000000000058e-02,7.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
3.516895103454589844e+01,2.800000000000000058e-02,7.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
3.657858800888061523e+01,1.499999999999999944e-02,7.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
3.790935397148132324e+01,1.499999999999999944e-02,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
3.931883287429809570e+01,1.499999999999999944e-02,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
4.064021992683410645e+01,8.000000000000000167e-03,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
4.197055697441101074e+01,8.000000000000000167e-03,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
4.338699007034301758e+01,8.000000000000000167e-03,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
4.470958209037780762e+01,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
4.603248500823974609e+01,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
4.744647312164306641e+01,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
4.875978493690490723e+01,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
5.017681908607482910e+01,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
5.150698304176330566e+01,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
5.283348202705383301e+01,0.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00,4.800000000000000000e+01,0.000000000000000000e+00
