t_s,played_level,rms_sq_var,noise_floor_sq,threshold,event
9.110522270202636719e-02,0.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
1.800861358642578125e-01,0.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
1.584099054336547852e+00,0.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
2.900433063507080078e+00,0.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
4.300604104995727539e+00,0.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
5.626644134521484375e+00,0.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
6.946326017379760742e+00,0.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
8.351642131805419922e+00,9.000000000000000222e-01,2.450000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
9.670589923858642578e+00,9.000000000000000222e-01,1.349000000000000000e+03,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
1.107743692398071289e+01,9.000000000000000222e-01,1.196000000000000000e+03,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
1.240962529182434082e+01,5.000000000000000000e-01,9.840000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
1.372689104080200195e+01,5.000000000000000000e-01,4.620000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
1.513432312011718750e+01,5.000000000000000000e-01,5.000000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
1.645237708091735840e+01,2.800000000000000266e-01,4.230000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
1.786120295524597168e+01,2.800000000000000266e-01,2.070000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
1.917758917808532715e+01,2.800000000000000266e-01,2.380000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
2.049751520156860352e+01,1.600000000000000033e-01,1.980000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
2.190917420387268066e+01,1.600000000000000033e-01,1.080000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
2.323153424263000488e+01,1.600000000000000033e-01,1.290000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
2.463606715202331543e+01,8.999999999999999667e-02,1.020000000000000000e+02,5.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00
2.595763421058654785e+01,8.999999999999999667e-02,6.200000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
2.727570891380310059e+01,8.999999999999999667e-02,6.900000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
2.867919206619262695e+01,5.000000000000000278e-02,4.500000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
2.999611115455627441e+01,5.000000000000000278e-02,2.400000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
3.139928197860717773e+01,5.000000000000000278e-02,2.900000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
