gateway_id,receptions,uplinks_heard,region,rssi_med,rssi_best,snr_med,snr_best,has_coords,gw_lat,gw_lon,gc_max_km
cicytex-ic003,119,119,EU,-108.0,-106.0,-4.65,2.5,0,,,
mjv-casas,118,118,EU,-114.0,-108.0,-0.8,5.5,0,,,
mitigasmart-cc,108,108,EU,-118.0,-113.0,-5.35,3.2,0,,,
niharramikrotik,106,106,EU,-113.0,-101.0,-0.75,4.75,1,40.589325292876616,-4.838257133960725,179.2370108968522
mtcdtip02-l4e1-9,105,105,EU,-109.0,-101.0,-2.2,8.0,0,,,
italr0005,102,102,EU,-118.0,-112.0,-4.5,2.0,1,40.954279046747715,-4.142631590366364,212.23666262946918
ext-sg50-024,96,96,EU,-119.0,-114.0,-4.5,3.0,0,,,
meceiot-004-5030354163554750,91,91,EU,-110.0,-98.0,3.5,9.5,1,40.5481739449056,-5.16353885114368,121.91835531245268
sg50-perte-malpica-05,84,84,EU,-118.0,-110.0,-3.9,6.0,0,,,
ext-sg50-029,80,80,EU,-114.0,-109.0,1.1,6.5,0,,,
sg50-eui-c0ba1ffffe004945,69,69,EU/US,-118.0,-116.0,-7.2,-3.0,0,,,
sg50-perte-malpica-07,65,65,EU,-118.0,-113.0,-5.2,3.5,0,,,
cdtic-multitech-4,62,62,EU,-115.0,-113.0,-4.0,0.2,1,39.4920534590841,-6.57908320426941,162.2188422692926
tef-mls-01,60,60,EU,-118.0,-115.0,-6.2,1.5,1,40.108033,-6.632828,122.58513406003775
ext-sg50-028,55,55,EU,-118.0,-113.0,-5.5,3.2,0,,,
ext-sg50-022,54,54,EU,-119.0,-113.0,-5.5,4.0,0,,,
mvj-cabezuela,53,53,EU,-111.0,-107.0,-1.1,5.2,0,,,
mtcdtip02-l4e1-7,53,53,EU,-113.0,-107.0,-3.1,3.8,0,,,
mtcdtip02-l4e1-15,52,52,EU,-113.0,-107.0,-3.0,5.2,0,,,
ext-sg50-015,51,51,EU,-115.0,-108.0,-0.8,8.2,0,,,
mtcdtip02-l4e1-5,48,48,EU,-113.0,-108.0,-4.2,0.8,0,,,
ext-sg50-018,46,46,EU,-113.0,-107.0,-5.8,2.0,0,,,
meceiot-013-dragout-a84041ffff29dc56,46,46,EU,-120.5,-115.0,-6.125,0.5,1,40.970672,-5.141641,114.92237375103964
ext-sg50-023,46,46,EU,-118.0,-112.0,-1.65,5.8,0,,,
cicytex-icmc-002,44,44,EU,-111.0,-109.0,-6.15,-1.8,0,,,
mtcdtip02-l4e1-3,41,41,EU,-107.0,-101.0,-0.2,5.0,0,,,
sg50-perte-malpica-01,41,41,EU,-116.0,-115.0,-7.0,-2.0,0,,,
sg50-perte-malpica-06,39,39,EU,-114.0,-111.0,-6.2,-0.5,0,,,
sg50-perte-malpica-02,39,39,EU,-112.0,-108.0,-5.8,-0.5,1,39.94336757279527,-4.661850929260255,167.97978027441147
antena-granjas-rendondo-01,38,38,EU,-123.5,-113.0,-3.75,6.0,0,,,
ext-sg50-011,36,36,EU,-119.0,-118.0,-7.5,-4.8,0,,,
cdtic-multitech-5,36,36,EU,-114.5,-99.0,-2.0,5.2,1,40.0702558044694,-6.65818959474564,126.29498961658342
sg50-perte-malpica-03,35,35,EU,-119.0,-117.0,-5.0,1.0,0,,,
d401c3ffff6d00a4,34,34,EU,-114.0,-108.0,-3.0,1.75,0,,,
