time,device_id,region,gps_class,balloon_lat,balloon_lon,balloon_alt,spreading_factor,frequency_hz,gateway_id,gateway_lat,gateway_lon,gateway_alt,rssi,snr,anonymized,gc_km,slant_km,elev_gw_deg,depr_balloon_deg,fresh,band,is_prelaunch
2026-05-15 14:00:30.323000+00:00,stratolink-3,US,PRE_LAUNCH,,,,,,,,,,-92.0,8.1,True,,,,,False,unknown,True
2026-05-15 16:48:38.570605+00:00,stratolink-3,US,PRE_LAUNCH,-208.3533648,-122.3978122,4.0,,,,,,,-47.0,7.5,True,,,,,False,unknown,True
2026-05-15 16:50:41.571810+00:00,stratolink-3,US,PRE_LAUNCH,37.7784616,-122.3978122,1.0,,,,,,,-51.0,8.25,True,,,,,False,unknown,True
2026-05-15 16:52:44.588198+00:00,stratolink-3,US,PRE_LAUNCH,37.7785139,-122.3978633,1.0,,,,,,,-48.0,9.0,True,,,,,False,unknown,True
2026-05-15 16:54:46.584373+00:00,stratolink-3,US,PRE_LAUNCH,37.7785132,-122.3978603,-8.0,,,,,,,-51.0,8.0,True,,,,,False,unknown,True
2026-05-15 16:55:49.567925+00:00,stratolink-3,US,PRE_LAUNCH,37.7785257,-122.3979067,-17.0,,,,,,,-50.0,7.0,True,,,,,False,unknown,True
2026-05-15 16:56:51.595443+00:00,stratolink-3,US,PRE_LAUNCH,37.7785276,-122.3979245,-19.0,,,,,,,-48.0,8.0,True,,,,,False,unknown,True
2026-05-15 16:57:54.572143+00:00,stratolink-3,US,PRE_LAUNCH,37.7785022,-122.3979193,-17.0,,,,,,,-48.0,8.0,True,,,,,False,unknown,True
2026-05-15 16:58:56.407244+00:00,stratolink-3,US,PRE_LAUNCH,37.7785077,-122.3978832,-11.0,,,,,,,-48.0,6.5,True,,,,,False,unknown,True
2026-05-15 16:59:59.586286+00:00,stratolink-3,US,PRE_LAUNCH,37.7785077,-122.3979325,-18.0,,,,,,,-48.0,8.25,True,,,,,False,unknown,True
2026-05-15 17:01:01.601297+00:00,stratolink-3,US,PRE_LAUNCH,37.7785137,-122.3979325,-16.0,,,,,,,-49.0,8.25,True,,,,,False,unknown,True
2026-05-15 17:02:04.779124+00:00,stratolink-3,US,PRE_LAUNCH,37.7785049,-122.3978975,-16.0,,,,,,,-47.0,9.25,True,,,,,False,unknown,True
2026-05-15 17:03:06.605765+00:00,stratolink-3,US,PRE_LAUNCH,37.7785305,-122.3979078,-18.0,,,,,,,-51.0,6.75,True,,,,,False,unknown,True
2026-05-15 17:04:09.598293+00:00,stratolink-3,US,PRE_LAUNCH,37.7785263,-122.3979524,-16.0,,,,,,,-50.0,9.0,True,,,,,False,unknown,True
2026-05-15 17:05:12.593020+00:00,stratolink-3,US,PRE_LAUNCH,37.778516,-122.3979185,-12.0,,,,,,,-51.0,7.75,True,,,,,False,unknown,True
