time,device_id,lat,lon,altitude_m,battery_voltage,solar_voltage,ambient_lux,uv_index
2026-05-15T14:00:30.323+00:00,stratolink-3,,,,3.94,0.42,45,0
2026-05-15T16:48:38.570605+00:00,stratolink-3,-208.3533648,-122.3978122,4,3.68,3.44,6314,0
2026-05-15T16:50:41.57181+00:00,stratolink-3,37.7784616,-122.3978122,1,4.032,3.714,6324,0
2026-05-15T16:52:44.588198+00:00,stratolink-3,37.7785139,-122.3978633,1,4.356,3.878,6325,0
2026-05-15T16:54:46.584373+00:00,stratolink-3,37.7785132,-122.3978603,-8,4.684,4.072,6363,0
2026-05-15T16:55:49.567925+00:00,stratolink-3,37.7785257,-122.3979067,-17,4.806,4.174,6382,0
2026-05-15T16:56:51.595443+00:00,stratolink-3,37.7785276,-122.3979245,-19,4.948,4.286,6382,0
2026-05-15T16:57:54.572143+00:00,stratolink-3,37.7785022,-122.3979193,-17,5.066,4.262,6406,0
2026-05-15T16:58:56.407244+00:00,stratolink-3,37.7785077,-122.3978832,-11,5.154,4.322,6416,0
2026-05-15T16:59:59.586286+00:00,stratolink-3,37.7785077,-122.3979325,-18,5.244,4.368,6438,0
2026-05-15T17:01:01.601297+00:00,stratolink-3,37.7785137,-122.3979325,-16,5.296,4.418,6451,0
2026-05-15T17:02:04.779124+00:00,stratolink-3,37.7785049,-122.3978975,-16,5.356,4.544,6468,0
2026-05-15T17:03:06.605765+00:00,stratolink-3,37.7785305,-122.3979078,-18,5.408,4.766,6485,0
2026-05-15T17:04:09.598293+00:00,stratolink-3,37.7785263,-122.3979524,-16,5.402,4.818,6509,0
2026-05-15T17:05:12.59302+00:00,stratolink-3,37.778516,-122.3979185,-12,5.392,4.942,6546,0
2026-05-15T17:06:15.086286+00:00,stratolink-3,37.7785123,-122.3979152,-11,5.396,5.026,6558,0
2026-05-15T17:07:18.584381+00:00,stratolink-3,37.7785123,-122.3978904,-8,5.398,4.974,6558,0
2026-05-15T17:08:21.591646+00:00,stratolink-3,37.7785097,-122.3978904,2,5.398,4.846,6561,0
2026-05-15T17:09:23.590199+00:00,stratolink-3,37.7784794,-122.3978077,-8,5.4,4.94,6582,0
2026-05-15T17:10:26.596841+00:00,stratolink-3,37.7785117,-122.3978912,-8,5.412,4.98,6617,0
2026-05-15T17:11:29.583987+00:00,stratolink-3,37.7785203,-122.3979117,-13,5.406,4.922,6643,0
2026-05-15T17:12:32.583582+00:00,stratolink-3,37.7784805,-122.397923,-5,5.406,5.004,6681,0
2026-05-15T17:13:35.755828+00:00,stratolink-3,37.7784858,-122.3979241,-7,5.406,5.052,6771,0
2026-05-15T17:14:37.965301+00:00,stratolink-3,37.7784651,-122.3980311,-14,5.398,5.258,6857,0
2026-05-15T17:15:41.582379+00:00,stratolink-3,37.7784651,-122.3978785,0,5.412,5,7006,0
2026-05-15T17:16:44.597313+00:00,stratolink-3,37.7784598,-122.3978785,-3,5.396,5.024,7192,0
2026-05-15T17:17:47.577314+00:00,stratolink-3,37.7784298,-122.3978506,-3,5.406,5.064,7486,0
2026-05-15T17:18:49.580057+00:00,stratolink-3,37.7784573,-122.3978732,-9,5.398,5.142,7824,0
2026-05-15T17:19:53.584952+00:00,stratolink-3,37.7784788,-122.3978408,-9,5.406,5.172,8218,0
2026-05-15T17:20:56.583687+00:00,stratolink-3,37.7784818,-122.3979137,-22,5.392,5.14,8738,0
2026-05-15T17:21:59.590403+00:00,stratolink-3,37.7785051,-122.3979396,-10,5.406,5.128,8738,0
2026-05-15T17:23:01.724482+00:00,stratolink-3,37.7784909,-122.3978914,-12,5.398,4.896,8738,0
2026-05-15T17:24:03.586708+00:00,stratolink-3,37.7785047,-122.3978942,-9,5.4,5.032,8738,0
2026-05-15T17:25:06.597274+00:00,stratolink-3,37.7785047,-122.3978856,-10,5.406,5.048,8738,0
2026-05-15T17:26:09.780962+00:00,stratolink-3,37.7785054,-122.3978856,-1,5.406,5.142,8738,0
2026-05-15T17:27:11.606918+00:00,stratolink-3,37.778503,-122.3979122,-6,5.406,5.09,8738,0
2026-05-15T17:28:15.719732+00:00,stratolink-3,37.7784993,-122.3979238,-6,5.412,4.924,8738,0
2026-05-15T17:29:19.583597+00:00,stratolink-3,37.7784888,-122.3979149,-5,5.4,5.102,8738,0
2026-05-15T17:30:22.583555+00:00,stratolink-3,37.7784946,-122.3979175,-10,5.386,5.168,8738,0
2026-05-15T17:31:25.800498+00:00,stratolink-3,37.7784624,-122.3978381,-5,5.412,4.992,8738,0
2026-05-15T17:32:28.124726+00:00,stratolink-3,37.7784728,-122.3978765,-5,5.398,5.182,8738,0
2026-05-15T17:33:31.580071+00:00,stratolink-3,37.7784728,-122.3978576,-6,5.404,5.154,8738,0
2026-05-15T17:34:33.584814+00:00,stratolink-3,37.7784543,-122.3978286,-8,5.396,5.19,8738,0
2026-05-15T17:35:36.581629+00:00,stratolink-3,37.7784768,-122.3978286,-5,5.4,5.464,8738,0
2026-05-15T17:36:40.717633+00:00,stratolink-3,37.7784762,-122.3978208,-5,5.404,5.194,8738,0
2026-05-15T17:37:44.584921+00:00,stratolink-3,37.7785085,-122.3979483,-15,5.406,5.2,8738,0
2026-05-15T17:38:47.596407+00:00,stratolink-3,37.7784825,-122.3979162,-8,5.396,5.206,8738,0
2026-05-15T17:39:50.812909+00:00,stratolink-3,37.7784824,-122.3979015,-9,5.398,5.206,8738,0
2026-05-15T17:40:53.23623+00:00,stratolink-3,37.7784654,-122.3978685,-2,5.398,5.2,8738,0
2026-05-15T17:41:56.576194+00:00,stratolink-3,37.7784654,-122.397895,-6,5.392,5.198,8738,0
2026-05-15T17:42:59.589265+00:00,stratolink-3,37.778477,-122.397895,-7,5.4,5.206,8738,0
2026-05-15T17:44:02.573797+00:00,stratolink-3,37.7784721,-122.3978617,-7,5.4,5.194,8738,0
2026-05-15T17:45:04.580181+00:00,stratolink-3,37.7784671,-122.3978314,-7,5.388,5.206,8738,0
2026-05-15T17:46:08.568213+00:00,stratolink-3,37.7784611,-122.3978594,-6,5.388,5.206,8738,0
2026-05-15T17:47:12.586294+00:00,stratolink-3,37.7784643,-122.3978854,-5,5.398,5.218,8738,0
2026-05-15T17:48:16.589959+00:00,stratolink-3,37.7784576,-122.3978792,-6,5.398,5.224,8738,0
2026-05-15T17:49:19.504497+00:00,stratolink-3,37.7784599,-122.3978331,-1,5.4,5.206,8738,0
2026-05-15T17:50:22.591918+00:00,stratolink-3,37.7784599,-122.3978624,-8,5.4,5.224,8738,0
2026-05-15T17:51:25.728303+00:00,stratolink-3,37.7784519,-122.3978624,-15,5.392,5.224,8738,0
2026-05-15T17:52:28.578895+00:00,stratolink-3,37.7784496,-122.3979859,-15,5.406,5.214,8738,0
2026-05-15T17:53:31.576357+00:00,stratolink-3,37.7784602,-122.3979831,-11,5.41,5.22,8738,0
2026-05-15T17:54:34.585689+00:00,stratolink-3,37.7784971,-122.3979308,-13,5.4,5.23,8738,0
2026-05-15T17:55:37.588709+00:00,stratolink-3,37.7785033,-122.3979506,-14,5.41,5.538,8738,0
2026-05-15T17:56:40.04596+00:00,stratolink-3,37.7784803,-122.3979706,-11,5.398,5.218,8738,0
2026-05-15T17:57:43.596533+00:00,stratolink-3,37.7784803,-122.397888,-5,5.398,5.22,8738,0
2026-05-15T17:58:46.575303+00:00,stratolink-3,37.7784498,-122.397888,-13,5.388,5.228,8738,0
2026-05-15T17:59:49.600568+00:00,stratolink-3,37.7784341,-122.3979622,-13,5.392,5.218,8738,0
2026-05-15T18:00:51.591963+00:00,stratolink-3,37.7784717,-122.3979027,-5,5.406,5.232,8738,0
2026-05-15T18:01:54.579251+00:00,stratolink-3,37.7784729,-122.3979192,-4,5.386,5.232,8738,0
2026-05-15T18:02:57.592261+00:00,stratolink-3,37.7784564,-122.3978998,-5,5.386,5.22,8738,0
2026-05-15T18:04:01.574688+00:00,stratolink-3,37.7784455,-122.397936,-2,5.398,5.218,8738,0
2026-05-15T18:05:05.716656+00:00,stratolink-3,37.7784576,-122.3978985,0,5.406,5.224,8738,0
2026-05-15T18:06:09.582319+00:00,stratolink-3,37.7784568,-122.3978699,-1,5.412,5.23,8738,0
2026-05-15T18:07:12.641067+00:00,stratolink-3,37.7784672,-122.3978366,-5,5.392,5.224,8738,0
2026-05-15T18:08:16.601393+00:00,stratolink-3,37.7784672,-122.3978721,-9,5.404,5.22,8738,0
2026-05-15T18:09:21.589072+00:00,stratolink-3,37.778478,-122.3978721,-9,5.406,5.22,8738,0
2026-05-15T18:10:25.745303+00:00,stratolink-3,37.7785152,-122.3978976,-18,5.41,5.232,8738,0
2026-05-15T18:11:28.638116+00:00,stratolink-3,37.7785036,-122.3978733,-9,5.392,5.206,8738,0
2026-05-15T18:12:31.439829+00:00,stratolink-3,37.7784421,-122.3978063,0,5.406,5.222,8738,0
2026-05-15T18:13:34.598418+00:00,stratolink-3,37.7784421,-122.3978243,0,5.398,5.206,8738,0
2026-05-15T18:14:37.589724+00:00,stratolink-3,37.7784501,-122.3978243,-6,5.392,5.208,8738,0
2026-05-15T18:15:40.7993+00:00,stratolink-3,37.7784564,-122.3978298,-6,5.4,5.22,8738,0
2026-05-15T18:16:43.589147+00:00,stratolink-3,37.7784413,-122.3978265,-2,5.388,5.224,8738,0
2026-05-15T18:17:46.608982+00:00,stratolink-3,37.7784543,-122.3978423,-1,5.406,5.224,8738,0
2026-05-15T18:18:49.581368+00:00,stratolink-3,37.7784438,-122.3978862,-2,5.398,5.206,8738,0
2026-05-15T18:19:52.194124+00:00,stratolink-3,37.7785141,-122.3979149,-20,5.4,5.228,8738,0
2026-05-15T18:20:55.797221+00:00,stratolink-3,37.7785141,-122.3979108,-13,5.388,5.206,8738,0
2026-05-15T18:21:58.577035+00:00,stratolink-3,37.7785127,-122.3979108,-4,5.386,5.23,8738,0
